database,average_outdegree_centralization,average_indegree_centralization,average_combined_centralization
nebula_polkadot,0.3775987407324174,0.8680617773418075,0.7534748991665159
nebula_avail_mainnet,0.46646691255370865,0.8126559646808958,0.6032004702492765
nebula_filecoin,0.1288622284762083,0.8760253163057948,0.8082967375742667
nebula_ipfs,0.2733879750343379,0.9311056291795552,0.8839550069519817
